time,pitch,depth,depth_rate,v_N,v_E,pump_volume,thruster_power,thruster_current
1574395482.57758,0.0191986,0.0,0.0,,,253.561,,
1574395541.51633,0.0191986,0.0,0.0,,,253.498,,
1574395545.74814,0.0191986,0.0,0.0,,,253.51,,
1574395550.05649,0.0191986,0.0,0.0,,,253.51,,
1574395554.2803,0.0191986,0.0,0.0,,,253.523,,
1574395558.67575,0.0191986,0.0,0.0,,,253.587,,
1574395562.9144,0.0191986,0.0,0.0,,,253.549,,
1574395570.13266,0.0191986,0.0,0.0,,,253.485,,
1574395574.52597,0.0191986,0.0,0.0,,,253.523,,
1574395578.74918,0.0191986,0.0,0.0,,,253.51,,
1574395582.99435,0.0191986,0.0,0.0,0.251601,-0.0534795,253.459,,
1574395587.52798,0.0191986,0.0,0.0,-0.0,-0.0,253.498,,
1574395592.05362,0.0191986,0.566483,0.111512,-0.144232,-0.146771,254.097,,
1574395596.7514,0.0191986,0.0,-0.136766,-0.0,-0.0,253.408,,
1574395601.27591,0.0191986,0.0,0.0,-0.0,-0.0,244.119,,
1574395605.73282,0.0191986,0.0,0.0,-0.0,-0.0,235.417,,
1574395610.1514,0.0191986,0.0,0.0,-0.0,-0.0,226.753,,
1574395614.64688,0.0191986,0.234883,0.0525937,-0.0,-0.0,218.485,,
1574395619.06509,0.0191986,0.0,-0.0528302,0.0740486,-0.00483108,210.434,,
1574395623.34534,0.0191986,0.0,0.0,-0.0,-0.0,202.421,,
1574395627.78134,0.0191986,0.0,0.0,-0.0,-0.0,194.255,,
1574395632.21661,0.0191986,0.0,0.0,-0.180289,-0.183464,186.178,,
1574395636.64136,0.0191986,0.0,0.0,-0.142048,-0.274039,177.731,,
1574395641.06796,0.0191986,0.0138167,0.00320647,-0.0,-0.0,169.794,,
1574395645.50201,0.0191986,0.0,-0.00307927,-0.0,-0.0,161.692,,
1574395649.92856,0.0191986,0.0,0.0,-0.0,-0.0,153.309,,
1574395654.35077,0.0191986,0.0,0.0,0.0740486,-0.00483108,145.462,,
1574395658.61682,0.0191986,1.09152,0.250981,-0.0710242,-0.13702,137.653,,
1574395663.0571,0.0191986,0.0,-0.243154,0.0,-0.0,129.703,,
1574395667.57208,0.0191986,0.0,0.0,0.0978729,-0.181012,121.639,,
1574395672.01205,0.0191986,0.0,0.0,0.180056,-0.311865,113.69,,
1574395676.43243,0.0191986,0.0,0.0,0.306387,-0.189228,106.149,,
1574395680.85193,0.0191986,0.0,0.0,0.0,-0.0,98.5189,,
1574395685.30469,0.0191986,0.0,0.0,0.057755,-0.197507,91.131,,
1574395689.72815,0.0191986,0.0,0.0,0.0,-0.0,83.5518,,
1574395694.1517,0.0191986,0.04145,0.00937147,0.0740486,-0.00483108,76.4064,,
1574395698.58759,0.0191986,0.0,-0.00914607,0.253768,-0.175718,69.0058,,
1574395703.03763,0.0191986,0.0,0.0,0.0301333,-0.358848,61.5796,,
1574395707.48499,0.0191986,0.0,0.0,-0.193488,-0.303715,54.498,,
1574395711.92017,0.0191986,0.0,0.0,-0.12269,-0.165202,47.0209,,
1574395716.34164,0.0191986,0.400683,0.0932255,-0.0,-0.0,39.8627,,
1574395720.77563,0.0191986,0.0,-0.0891794,-0.0,-0.0,32.9852,,
1574395725.19565,0.0191986,0.0,0.0,-0.0,-0.0,25.8526,,
1574395729.61377,0.0191986,0.0,0.0,0.0218668,-0.204613,18.9496,,
1574395734.03986,0.0191986,0.0,0.0,0.0740486,-0.00483108,12.0594,,
1574395738.31381,0.0191986,0.0,0.0,0.0,-0.0,5.19471,,
1574395742.75583,0.0191986,0.0,0.0,0.0,-0.0,-1.50411,,
1574395747.19287,0.0191986,0.0,0.0,0.0,-0.0,-8.34329,,
1574395751.62497,0.0191986,0.0,0.0,0.0218668,-0.204613,-15.0421,,
1574395756.20502,0.0191986,0.0,0.0,0.0,-0.0,-21.9196,,
1574395760.63724,0.0191986,0.0,0.0,0.0,-0.0,-28.2101,,
1574395765.04907,0.0191986,0.0,0.0,0.0218668,-0.204613,-34.8451,,
1574395769.47015,0.0191986,0.0,0.0,0.0740486,-0.00483108,-41.2632,,
1574395773.90268,0.0191986,0.0,0.0,0.0,-0.0,-47.6686,,
1574395778.33936,0.0191986,0.0,0.0,0.203622,-0.0297053,-53.8187,,
1574395782.78806,0.0191986,0.0,0.0,0.0,-0.0,-60.122,,
1574395787.24716,0.0191986,0.0,0.0,0.0,-0.0,-66.3997,,
1574395791.70322,0.0191986,0.0,0.0,0.0892374,-0.185422,-72.4478,,
1574395796.11911,0.0191986,0.0,0.0,0.0,-0.0,-78.7638,,
1574395800.54245,0.0191986,0.0,0.0,0.133856,-0.278132,-84.3781,,
1574395804.96463,0.0191986,0.0,0.0,0.133856,-0.278132,-90.5538,,
1574395809.38281,0.0191986,0.0690833,0.015605,0.0740486,-0.00483108,-96.3849,,
1574395813.65216,0.0191986,0.0,-0.0157509,0.0,-0.0,-101.859,,
1574395818.10876,0.0191986,0.0,0.0,0.0,-0.0,-107.869,,
1574395822.55463,0.0191986,0.0,0.0,0.0892374,-0.185422,-113.585,,
1574395826.99377,0.0191986,0.234883,0.0528184,0.223094,-0.463554,-119.429,,
1574395831.41531,0.0191986,0.0,-0.0542957,0.178475,-0.370843,-125.388,,
1574395835.87347,0.0191986,0.0,0.0,0.0,-0.0,-131.41,,
1574395840.29611,0.0191986,0.0,0.0,0.0,-0.0,-137.573,,
1574395844.7139,0.0191986,0.0,0.0,0.0,-0.0,-144.655,,
1574395849.12625,0.0191986,0.0,0.0,0.0740486,-0.00483108,-151.226,,
1574395853.39145,0.0191986,0.0,0.0,0.0,-0.0,-157.938,,
1574395857.83789,0.0191986,0.0,0.0,-0.263923,-0.500575,-164.738,,
1574395862.27863,0.0191986,0.0,0.0,-0.263923,-0.500575,-171.335,,
1574395866.71552,0.0191986,0.0,0.0,-0.263923,-0.500575,-178.174,,
1574395871.13864,0.0191986,0.0,0.0,-0.263923,-0.500575,-185.014,,
1574395875.57922,0.0191986,0.0,0.0,-0.263923,-0.500575,-191.623,,
1574395879.99338,0.0191986,0.0,0.0,-0.263923,-0.500575,-198.271,,
1574395884.4072,0.0191986,0.0,0.0,0.0740486,-0.00483108,-205.659,,
1574395888.70889,0.0191986,0.0,0.0,0.0740486,-0.00483108,-212.523,,
1574395893.14926,0.0191986,0.0,0.0,0.0740486,-0.00483108,-219.784,,
1574395897.60971,0.0191986,0.0,0.0,0.0740486,-0.00483108,-227.35,,
1574395901.8891,0.0191986,0.12435,0.0290809,0.0740486,-0.00483108,-235.006,,
1574395906.15717,0.0191986,0.428317,0.0712032,0.0740486,-0.00483108,-243.172,,
1574395910.62076,0.0191986,0.78755,0.0802397,0.0740486,-0.00483108,-251.325,,
1574395914.88919,0.0191986,1.22968,0.103641,0.0740486,-0.00483108,-260.015,,
1574395919.11334,0.0191986,1.75472,0.124622,0.0740486,-0.00483108,-261.036,,
1574395923.44089,0.0191986,2.30738,0.127137,0.0740486,-0.00483108,-261.023,,
1574395927.96359,0.0191986,2.91532,0.134231,0.0740486,-0.00483108,-261.036,,
1574395932.31116,0.0191986,3.55088,0.146309,0.0740486,-0.00483108,-261.138,,
1574395936.65512,0.0191986,4.40752,0.197563,0.0740486,-0.00483108,-261.227,,
1574395940.98978,-0.579449,5.04308,0.136828,-0.119118,-0.0166456,-261.253,,
1574395945.23868,-0.551524,6.06552,0.228528,-0.271548,-0.0199201,-261.278,,
1574395949.45596,-0.427606,6.67345,0.162159,-0.244863,-0.00705753,-261.278,0.7434,0.2478
1574395953.68713,-0.441568,7.19848,0.124151,-0.159847,0.0131662,-261.278,0.6195,0.2065
1574395958.05798,-0.47473,7.97222,0.176008,-0.232294,0.0541612,-261.278,0.7434,0.2478
1574395962.42984,-0.47473,8.91175,0.216233,-0.291843,0.114761,-261.316,0.6195,0.2065
1574395966.65057,-0.466003,9.93418,0.241767,-0.320112,0.189975,-261.355,0.6195,0.2065
1574395970.86981,-0.455531,10.7632,0.195888,-0.21828,0.210692,-261.418,0.6195,0.2065
1574395975.08597,-0.459022,11.6198,0.202946,-0.185491,0.26393,-261.38,0.6195,0.2065
1574395979.46826,-0.471239,12.587,0.221675,-0.144387,0.327705,-261.444,0.619318,0.2065
1574395983.6828,-0.453786,13.3331,0.171833,-0.0469512,0.290197,-261.495,,
1574395987.89627,-0.434587,14.1621,0.196865,0.050012,0.377221,-261.52,0.6195,0.2065
1574395992.1152,-0.457276,14.9911,0.203886,0.091144,0.371639,-261.52,0.6195,0.2065
1574395996.48215,-0.471239,15.7095,0.158988,0.129068,0.273036,-261.533,0.6195,0.2065
1574396000.70145,-0.466003,16.6767,0.238101,0.385968,0.295336,-261.559,,
1574396004.91187,-0.459022,17.6715,0.227539,0.280786,0.360576,-261.52,3.6676,0.5782
1574396009.12878,-0.44855,18.8597,0.281505,0.406293,0.412857,-261.546,3.40563,0.5369
1574396013.49725,-0.439823,20.1032,0.284424,0.438601,0.407221,-261.546,3.40563,0.5369
1574396017.7153,-0.434587,21.6231,0.358959,0.55033,0.514939,-261.533,3.40563,0.5369
1574396022.09213,-0.439823,22.7837,0.275154,0.454124,0.367366,-261.546,3.40563,0.5369
1574396026.31268,-0.438078,24.2759,0.353769,0.580481,0.462491,-261.546,3.14366,0.4956
1574396030.68005,-0.436332,25.5194,0.285796,0.492738,0.362996,-261.546,3.40563,0.5369
1574396034.89072,-0.443314,27.0668,0.364281,0.61289,0.444115,-261.533,3.40563,0.5369
1574396039.10526,-0.453786,28.4209,0.323776,0.543734,0.380973,-261.533,3.40563,0.5369
1574396043.32047,-0.429351,29.8302,0.33301,0.576962,0.424697,-261.533,3.13789,0.4956
1574396047.6911,-0.42237,31.046,0.28093,0.513684,0.351179,-261.546,,
1574396051.90448,-0.424115,32.5935,0.366004,0.673811,0.422975,-261.546,5.4528,0.7021
1574396056.11618,-0.42586,33.8923,0.308422,0.598337,0.320242,-261.546,5.4528,0.7021
1574396060.32755,-0.450295,35.495,0.366674,0.661406,0.366481,-261.546,5.13205,0.6608
1574396064.70218,-0.436332,37.1806,0.400293,0.74464,0.401294,-261.546,5.13205,0.6608
1574396068.91422,-0.417134,38.7557,0.372805,0.72319,0.396087,-261.546,5.4528,0.7021
1574396073.12643,-0.411898,40.165,0.335468,0.672177,0.347494,-261.546,5.4528,0.7021
1574396077.33997,-0.408407,41.5191,0.321547,0.629289,0.371095,-261.559,5.13205,0.6608
1574396081.71164,-0.418879,43.1771,0.361693,0.673985,0.423099,-261.546,5.4528,0.7021
1574396086.09253,-0.410152,44.7798,0.381331,0.692568,0.492471,-261.559,5.4528,0.7021
1574396090.30841,-0.39968,46.3273,0.352177,0.610508,0.520509,-261.559,5.4528,0.7021
1574396094.5365,-0.404916,47.5155,0.292668,0.490819,0.446819,-261.533,,
1574396098.91348,-0.417134,49.284,0.39075,0.574326,0.619617,-261.597,5.38552,0.7021
1574396103.13174,-0.403171,50.4723,0.292957,0.437154,0.49494,-261.559,5.38552,0.7021
1574396107.34607,-0.406662,51.9092,0.328292,0.438448,0.57833,-261.584,5.37789,0.7021
1574396111.55768,-0.404916,53.1527,0.309021,0.402683,0.555312,-261.571,5.06155,0.6608
1574396115.92606,-0.415388,54.7278,0.347858,0.438698,0.609308,-261.61,5.37789,0.7021
1574396120.14163,-0.420624,55.9713,0.306205,0.401645,0.521474,-261.648,5.06155,0.6608
1574396124.35818,-0.420624,57.4911,0.360577,0.492636,0.595199,-261.571,5.06155,0.6608
1574396128.56815,-0.42237,59.011,0.349548,0.501912,0.55682,-261.597,5.37789,0.7021
1574396132.93652,-0.424115,60.3926,0.324869,0.507531,0.483411,-261.623,5.37789,0.7021
1574396137.15756,-0.42237,61.9677,0.375202,0.616927,0.524942,-261.635,5.06155,0.6608
1574396141.37329,-0.42237,63.3494,0.314659,0.554509,0.409891,-261.597,,
1574396145.60223,-0.42586,64.7587,0.316768,0.570768,0.388864,-261.533,0.0,0.0
1574396149.9931,-0.382227,66.3062,0.343347,0.651203,0.495115,-244.958,,
1574396154.17108,-0.251327,66.9141,0.166511,0.498964,0.292698,-221.544,,
1574396158.32721,-0.191986,67.4668,0.13209,0.561419,0.239226,-198.73,,
1574396162.46899,-0.179769,67.8813,0.097369,0.303459,0.0777617,-176.554,,
1574396166.76117,-0.169297,68.13,0.05777,0.0740486,-0.00483108,-154.097,,
1574396170.94409,-0.148353,68.4063,0.0655439,0.0740486,-0.00483108,-132.176,,
1574396175.08582,-0.129154,68.5997,0.0471214,0.0740486,-0.00483108,-110.561,,
1574396179.22385,-0.0907571,68.7379,0.0334787,0.0740486,-0.00483108,-89.1757,,
1574396183.51239,-0.0628319,68.7655,0.00645638,0.0740486,-0.00483108,-66.8336,,
1574396187.65186,-0.0453786,68.7655,0.0,0.0740486,-0.00483108,-44.7849,,
1574396191.81665,-0.010472,68.7932,0.00640699,0.0740486,-0.00483108,-23.0041,,
1574396195.98715,0.0331613,68.6274,-0.0411721,0.0740486,-0.00483108,-1.35099,,
1574396200.30054,0.0575959,68.5445,-0.019221,0.0740486,-0.00483108,20.9019,,
1574396204.46024,0.0820305,68.4616,-0.0199952,0.0740486,-0.00483108,42.6826,,
1574396208.61795,0.106465,68.1852,-0.0666667,0.0740486,-0.00483108,63.8126,,
1574396212.90628,0.136136,68.0471,-0.0308614,0.0740486,-0.00483108,85.5423,,
1574396217.19421,0.181514,67.6049,-0.107184,0.0740486,-0.00483108,108.688,,
1574396221.37805,0.207694,67.301,-0.0696692,0.29334,0.0793471,129.857,,
1574396225.53403,0.221657,66.9141,-0.097276,0.365977,0.13254,151.344,,
1574396229.69226,0.251327,66.4443,-0.112411,0.379877,0.153019,172.959,,
1574396233.99942,0.310669,66.1404,-0.0675932,0.221612,0.0796792,194.944,,
1574396238.15945,0.368264,65.3666,-0.195092,0.441221,0.245637,216.533,,
1574396242.31784,0.390954,64.7587,-0.140758,0.322326,0.164533,238.058,,
1574396246.48584,0.392699,64.0679,-0.17245,0.360712,0.227305,259.571,,
1574396250.71725,0.408407,63.156,-0.211578,0.391242,0.297228,,,
1574396254.80057,0.441568,62.3546,-0.195694,0.327988,0.27036,,,
1574396258.87897,0.443314,61.2769,-0.264207,0.398209,0.384239,,,
1574396262.96359,0.44855,60.3097,-0.235206,0.350822,0.343121,236.553,,
1574396267.19177,0.439823,59.1768,-0.263542,0.395166,0.390304,236.387,,
1574396271.49902,0.42586,58.0714,-0.25545,0.395332,0.390508,252.426,0.6195,0.2065
1574396275.94089,0.432842,57.0214,-0.250135,0.393348,0.367702,,0.6195,0.2065
1574396280.15228,0.460767,55.8884,-0.267714,0.402277,0.363564,,0.6195,0.2065
1574396284.52109,0.45204,54.6173,-0.292013,0.43677,0.408045,,0.6195,0.2065
1574396288.72473,0.450295,53.3461,-0.299513,0.441719,0.425656,255.475,0.6195,0.2065
1574396292.94318,0.453786,52.0197,-0.313866,0.455776,0.443697,255.335,0.6195,0.2065
1574396297.16068,0.460767,50.8868,-0.266643,0.389257,0.372154,255.297,0.626048,0.2065
1574396301.53043,0.457276,49.4222,-0.336682,0.484013,0.470117,255.131,0.626048,0.2065
1574396305.746,0.453786,48.1787,-0.294041,0.443635,0.404199,255.054,0.626048,0.2065
1574396309.96103,0.44855,47.0181,-0.275285,0.451879,0.354972,255.016,0.626048,0.2065
1574396314.17816,0.467748,45.6364,-0.315882,0.494932,0.386278,254.965,0.626048,0.2065
1574396318.55261,0.462512,44.3377,-0.297201,0.519487,0.311726,254.888,,
1574396322.77075,0.459022,43.0665,-0.30086,0.536889,0.306185,254.863,3.43145,0.5369
1574396326.9848,0.455531,41.5467,-0.375453,0.650887,0.397577,254.723,3.43145,0.5369
1574396331.20645,0.459022,39.9163,-0.387905,0.655308,0.422147,254.646,3.16749,0.4956
1574396335.57172,0.457276,38.1202,-0.412059,0.737878,0.384635,254.672,3.16749,0.4956
1574396339.94016,0.44855,36.5727,-0.353707,0.668542,0.309937,254.569,3.16749,0.4956
1574396344.15454,0.446804,34.8594,-0.391872,0.749058,0.320029,254.493,3.16749,0.4956
1574396348.36823,0.443314,33.2567,-0.395249,0.763242,0.319479,254.506,3.16749,0.4956
1574396352.73236,0.462512,31.5987,-0.38045,0.694188,0.323516,254.531,3.16749,0.4956
1574396356.9415,0.471239,29.9683,-0.372655,0.664621,0.319839,254.493,3.16749,0.4956
1574396361.15222,0.472984,28.2827,-0.413247,0.714872,0.375662,254.493,3.16141,0.4956
1574396365.37454,0.466003,26.6523,-0.388553,0.661603,0.395971,254.404,,
1574396369.7402,0.464258,24.7456,-0.419147,0.676481,0.476084,254.442,5.24459,0.6608
1574396373.96155,0.471239,22.8942,-0.455345,0.693951,0.539767,254.404,5.57237,0.7021
1574396378.17731,0.47473,21.0428,-0.42396,0.649886,0.493975,254.404,5.24459,0.6608
1574396382.39548,0.467748,19.0532,-0.471693,0.699109,0.588329,254.365,5.24459,0.6608
1574396386.7709,0.459022,17.1741,-0.446228,0.679712,0.563925,254.365,5.24459,0.6608
1574396390.99301,0.459022,15.295,-0.443594,0.687812,0.547804,254.327,5.24459,0.6608
1574396395.20602,0.462512,13.4989,-0.430632,0.666911,0.525249,254.365,5.24459,0.6608
1574396399.42139,0.462512,11.5369,-0.464371,0.706778,0.574958,254.327,5.24459,0.6608
1574396403.78711,0.471239,9.51968,-0.460555,0.696278,0.551506,254.302,4.9168,0.6195
1574396407.99792,0.472984,7.33665,-0.463981,0.711981,0.538092,254.123,0.0,0.0
1574396412.27948,0.432842,5.31942,-0.408595,0.69398,0.511677,240.572,,
1574396416.47098,0.326377,4.37988,-0.314751,0.731579,0.462451,227.315,,
1574396420.77475,0.247837,3.32982,-0.235125,0.735811,0.344077,215.283,,
1574396424.92456,0.204204,2.61135,-0.163362,0.639931,0.155297,205.483,,
1574396429.51138,0.10472,2.05868,-0.124306,0.56771,0.103707,191.613,,
